service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
4966087814-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
12839116461-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
477135413-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
1089108583-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,1,1
1141102773-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
12891101620-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,0,1
1060084820-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
3922118818-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,0
453135105-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
18234114160-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
1982101379-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,0
2377084434-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,0,0
2373096922-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,0,0
50051145284-20180725154052_v68.11,20180826,20181130,0,0,0,0,0,0,1
5361120357-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,0,0
1141101952-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,0,0
467135277-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
3945085127-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
2391143503-20180725154052_v68.11,20180826,20181130,0,0,0,0,0,1,1
449137593-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
7005018563-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
454135143-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
14323131178-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,1
3100088102-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
442135234-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,0,0
51100083452-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,0,0
441137953-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
2366120390-20180702170310_v67.28,20180708,20180825,0,1,1,1,1,0,0
23100144472-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
14392143606-20180725154052_v68.11,20180826,20181130,0,0,0,0,0,1,1
1983053902-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
475137558-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
1092124144-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,0,0
469139364-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,1
1097096057-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,1,1
2373096883-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,0,0
439140360-20180725154052_v68.11,20180826,20181130,0,0,0,0,0,1,1
23500145423-20180725154052_v68.11,20180826,20181130,0,0,0,0,0,0,1
1063133925-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
1080130296-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
14313120121-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,0,0
4966094920-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,0,0
3100089273-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
3100104270-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,0,0
1080132956-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,1
51100144834-20180725154052_v68.11,20180826,20181130,0,0,0,0,0,1,0
1141103412-20180725154052_v68.11,20180826,20181130,0,0,0,0,0,1,1
1060088924-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
465140925-20180725154052_v68.11,20180826,20181130,0,0,0,0,0,0,1
2393143272-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
12870116107-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
12858118007-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,0
8300141258-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,1
1982101542-20180725154052_v68.11,20180826,20181130,0,0,0,0,0,0,1
4976084930-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
440140234-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,1
14306134142-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,1
